,Company_Names,World_Ranks(Jan-2020),Market_Cap(In_Billion_USD),Headquarter_of_Company,Annual_Revenue_till,Annual_revenue,Annual_Net_Income_till,Annual_Net_income,Sector,Total_Employees,Employee_Count_as_on_Date,CEO,Annual_Revenue,Annual_Net_Income,Annual_Revenue(mbtc),Annual_Net_Income(mbtc)
209,ZOETIS,196,63.77,USA,2019,260 Million USD,2019,500 Million USD,"Healthcare, Pharmaceutical, Healthcare Service, Animal Health Medicine, Animal Healthcare Companies, HealthCare Products",12100,2021,Kristin C. Peck,260.0,500.0,Million USD,Million USD
210,TAKEDA PHARMACEUTICAL COMPANY,197,63.55,Japan,2020,291.2 Billion JPY,2020,44.24 Billion JPY,"Healthcare, Pharmaceutical, HealthCare Products",47000,2021,Christophe Weber,291.2,44.24,Billion JPY,Billion JPY
211,BOSTON SCIENTIFIC CORPORATION,198,63.1,USA,2019,735 Million USD,2019,700 Million USD,"Healthcare, Medical Equipment, HealthCare Products",38000,2020,Michael F. Mahoney,735.0,700.0,Million USD,Million USD
212,IBERDROLA,199,63.05,Spain,2019,36.43 Billion EUR,2019,3.40 Billion EUR,"Utilities, Electric Utilities, Energy",45000,2021,Jose Ignacio Sanchez Galan,36.43,3.4,Billion EUR,Billion EUR
213,ALLERGAN,200,62.84,Ireland,2019,16.08 Billion USD,2019,-5.27 Billion USD,"Healthcare, Pharmaceutical, HealthCare Products, Biotechnology, Technology",17400,2019,Brenton L. Saunders,16.08,5.27,Billion USD,Billion USD
214,PUBLIX,200,62.84,USA,2019,38.1 billion USD,2019,3 billion USD,"Retail, Super Markets, Hypermarkets",197000,2019,Bob van Dijk,38.1,3.0,billion USD,billion USD
215,THE CHARLES SCHWAB CORPORATION,201,62.46,USA,2019,721 Million USD,2019,704 Million USD,"Financial Services, Banking Services, Brokerage Services, Asset Management, Investments, Stock Markets, Trading, Capital Markets",32000,2021,Walter W Bettinger II,721.0,704.0,Million USD,Million USD
216,RECRUIT HOLDINGS,202,62.23,Japan,2019,310 Billion JPY,2019,174.2 Billion JPY,"Industries, Internet or Mobile App Based Business, Consulting Services, Technology, Software and IT, Software Products, Outsourcing and Staffing",49370,2021,Hisayuki Idekoba,310.0,174.2,Billion JPY,Billion JPY
217,ZURICH INSURANCE GROUP AG,203,62.11,Switzerland,2019,72.08 Billion USD,2019,4.15 Billion USD,"Financial Services, Insurance",52930,2021,Mario Greco,72.08,4.15,Billion USD,Billion USD
218,RAYTHEON COMPANY,204,62.0,USA,2019,176 Million USD,2019,343 Million USD,"Industries, Defense Products, Electronics, Missiles, Weapons, Sensors, Machinery Manufacturing, Capital Goods, Manufacturing",67000,2018,Thomas A. Kennedy,176.0,343.0,Million USD,Million USD
219,MICRON TECHNOLOGY,205,61.7,USA,2019,406 Million USD,2019,313 Million USD,"Technology, Semiconductors, Electronics, Technology Hardware and Instruments, Memory Products",43000,2021,Sanjay Mehrotra,406.0,313.0,Million USD,Million USD
220,FAST RETAILING,206,61.58,Japan,2019,290.5 Billion JPY,2019,162.5 Billion JPY,"Consumer Cyclical, Retail, Clothing",57727,2021,Tadashi Yanai,290.5,162.5,Billion JPY,Billion JPY
221,ENTERPRISE PRODUCTS PARTNERS,207,61.47,USA,2019,789 Million USD,2019,591 Million USD,"Energy, Oil and Gas, Oil Refining, Petrochemicals, Gas Utilities, Natural Gas Generation, Utilities, Chemicals",7130,2021,A. James Teague,789.0,591.0,Million USD,Million USD
222,NOVATEK,208,61.32,Russia,2019,862.8 Billion RUB,2019,865.4 Billion RUB,"Energy, Oil and Gas, Natural Gas Generation, Petroleum",16821,2020,Leonid Viktorovich Mikhelson,862.8,865.4,Billion RUB,Billion RUB
223,MERCEDEC BENZ GROUP AG,209,61.3,Germany,2019,172.74 Billion EUR,2019,2.37 Billion EUR,"Consumer Cyclical, Automobile, Cars, Trucks, Commercial Vehicles, Passenger Vehicles, Electric Vehicle Charging Station",288481,2021,Ola Kallenius,172.74,2.37,Billion EUR,Billion EUR
224,JD.COM,210,60.89,China,2020,745.8 Billion CNY,2019,49.4 Billion CNY,"Consumer Cyclical, eCommerce, Internet or Mobile App Based Business, Retail, Consumer Services",314906,2021,Liu Qiangdong,745.8,49.4,Billion CNY,Billion CNY
225,SIMON PROPERTY GROUP,211,60.88,USA,2019,755 Million USD,2019,101 Million USD,"Real Estate, Property Investments, Commercial Properties, Consumer Services, Investments, Retail",3300,2020,David Simon,755.0,101.0,Million USD,Million USD
226,PSBC (POSTAL SAVINGS BANK OF CHINA),211,60.81,China,2019,579 Million CNY,2019,432 Million CNY,"Financial Services, Banking Services",194527,2021,Lv Jiajin,579.0,432.0,Million CNY,Million CNY
227,WESTPAC BANKING CORPORATION,212,60.6,"Australia, New Zealand",2020,19.89 Billion AUD,2020,2.28 Billion AUD,"Financial Services, Banking Services, Asset Management, Wealth Management, Credit Cards",40143,2021,Peter King,19.89,2.28,Billion AUD,Billion AUD
228,PT BANK CENTRAL ASIA TBK,213,60.29,Indonesia,2019,968 Billion IDR,2019,565 Billion IDR,"Financial Services, Banking Services, Credit Cards",26123,2021,Jahja Setiaatmadja,968.0,565.0,Billion IDR,Billion IDR
229,COLGATE-PALMOLIVE COMPANY,214,59.95,USA,2019,693 Million USD,2019,367 Million USD,"Consumer Defensive, FMCG, Personal Care Products, Consumer Non Durables",33800,2021,Noel R. Wallace,693.0,367.0,Million USD,Million USD
230,NORTHROP GRUMMAN CORPORATION,215,59.88,USA,2019,841 Million USD,2019,248 Million USD,"Industries, Aerospace Products, Defense Products, Electronics, Space Products, Missiles, Satellites, Sensors, Rockets, Machinery Manufacturing, Software and IT, Software Products, Capital Goods, Aerospace and Defense, Manufacturing",88000,2021,Kathy Warden,841.0,248.0,Million USD,Million USD
231,HDFC,216,59.7,India,2020,1017.25 Billion INR,2020,170.80 Billion INR,"Financial Services, Banking Services, Asset Management, Insurance",3226,2021,Sashidhar Jagdishan,1017.25,170.8,Billion INR,Billion INR
232,CROWN CASTLE INTERNATIONAL CORPORATION,217,58.92,USA,2019,763 Million USD,2019,860 Million USD,"Real Estate, Infrastructure, Cell Towers Infrastructure, Consumer Services, Property Investments",4900,2020,Jay A. Brown,763.0,860.0,Million USD,Million USD
233,INDUSTRIAL BANK,218,58.78,China,2019,181.1 Billion CNY,2019,65.8 Billion CNY,"Financial Services, Banking Services",60500,2020,"Doyle Mitchell, Jr.",181.1,65.8,Billion CNY,Billion CNY
234,LLOYDS BANKING GROUP,219,58.76,UK,2019,41.08 Billion GBP,2019,3006 Million GBP,"Financial Services, Banking Services",61576,2020,Charlie Nunn,41.08,3006.0,Billion GBP,Million GBP
235,HINDUSTAN UNILEVER,220,58.44,India,2019,387 Billions INR,2019,60 Billions INR,"Consumer Defensive, FMCG, Food Products, Personal Care Products, Consumer Goods",21000,2021,Sanjiv Mehta,387.0,60.0,Billions INR,Billions INR
236,MIDEA GROUP,221,58.28,China,2019,278.2 Billion CNY,2019,24.2 Billion CNY,"Technology, Electrical Products, Refrigerators, Electronics, Home Furnishing",149239,2020,Paul Fang,278.2,24.2,Billion CNY,Billion CNY
237,BROOKFIELD ASSET MANAGEMENT,222,58.25,Canada,2019,91.70 Billion CAD,2019,3.72 Billion CAD,"Financial Services, Investments, Property Investments, Asset Management, Consumer Services",152000,2021,Bruce Flatt,91.7,3.72,Billion CAD,Billion CAD
238,RECKITT BENCKISER GROUP,223,57.94,UK,2019,12846 Million GBP,2019,-3670 Million GBP,"Consumer Defensive, FMCG, HealthCare Products, Consumer Non Durables, Consumer Goods",43000,2022,Laxman Narasimhan,12846.0,3670.0,Million GBP,Million GBP
239,BANK OF COMMUNICATIONS,224,57.91,China,2019,231.7 Billion CNY,2019,77.3 Billion CNY,"Financial Services, Banking Services",87828,2021,Deqi Ren,231.7,77.3,Billion CNY,Billion CNY
240,ILLINOIS TOOL WORKS,225,57.75,USA,2019,109 Million USD,2019,521 Million USD,"Industries, Machinery Manufacturing, Automobile Parts, Home Appliances, Electrical Products, Electronics, Adhesives, Technology, Construction Materials, Automobile, Manufacturing, Industry Machinery",45000,2021,Ernest Scott Santi,109.0,521.0,Million USD,Million USD
241,SCHNEIDER ELECTRIC,226,57.46,France,2019,27.15 Billion EUR,2019,2.41 Billion EUR,"Power Equipment, Automation, Building Automation, Industrial Automation, Industrial Electrical Electronics, Power Management Tools, Tools and Equipment, Industry Machinery, Lighting Products, Electric Vehicle Charging Station",166025,2021,Jean-Pascal Tricoire,27.15,2.41,Billion EUR,Billion EUR
242,VERTEX PHARMACEUTICALS,227,57.25,USA,2019,163 Million USD,2019,177 Million USD,"Healthcare, Pharmaceutical, Biotechnology, Biopharmaceutical, HealthCare Products, Technology",3900,2021,Reshma Kewalramani,163.0,177.0,Million USD,Million USD
243,GREE ELECTRIC APPLIANCES,228,57.18,China,2019,198.15 Billion CNY,2019,24.7 Billion CNY,"Technology, Electrical Products, Electronics, Air Conditioners, Home Appliances, Refrigerators, Mobiles, Mobiles & Accessories, Electronics, Consumer Electronics",88846,2021,Dong Mingzhu,198.15,24.7,Billion CNY,Billion CNY
244,APPLIED MATERIALS,229,57.11,USA,2019,608 Million USD,2019,706 Million USD,"Power Equipment, Mobiles & Accessories, Semiconductors",27000,2021,Gary E. Dickerson,608.0,706.0,Million USD,Million USD
245,ENI S.P.A.,230,56.98,Italy,2019,69.88 Billion EUR,2019,0.148 Billion EUR,"Energy, Oil and Gas, Natural Gas Generation, Petroleum, Electricity Generation, Oil Refining, Power Generation, Nuclear Power",31495,2020,Claudio Descalzi,69.88,0.148,Billion EUR,Billion EUR
246,CHINA YANGTZE POWER,231,56.89,China,2019,49.87 Billion CNY,2019,21.54 Billion CNY,"Utilities, Electricity Generation, Electric Utilities, Energy",4077,2021,Lei Mingshan,49.87,21.54,Billion CNY,Billion CNY
247,SCHLUMBERGER,232,56.81,USA,2019,917 Million USD,2019,137 Million USD,"Energy, Oil and Gas, Oil Field Services",92000,2021,Olivier Le Peuch,917.0,137.0,Million USD,Million USD
248,MARSH & MCLENNAN COMPANIES,233,56.53,USA,2019,652 Million USD,2019,742 Million USD,"Financial Services, Healthcare Service, Insurance, Investments",81000,2021,Daniel S. Glaser,652.0,742.0,Million USD,Million USD
249,CSX CORPORATION,234,56.45,USA,2019,937 Million USD,2019,331 Million USD,"Industries, Rail Transport, Real Estate, Transportation, Railway",20919,2021,James M. Foote,937.0,331.0,Million USD,Million USD
250,PROLOGIS,235,56.23,USA,2019,330 Million USD,2019,573 Million USD,"Real Estate, Property Investments, Investments, Consumer Services",2053,2021,Hamid Moghadam,330.0,573.0,Million USD,Million USD
251,ADVANCED MICRO DEVICES (AMD),236,55.86,USA,2019,731 Million USD,2019,341 Million USD,"Technology, Technology Hardware and Instruments, Processors / Chips, Semiconductors, Electronics",15500,2021,Lisa Su,731.0,341.0,Million USD,Million USD
252,SK HYNIX,237,55.71,South Korea,2019,990 Billion KRW,2019,013 Billion KRW,"Technology, Semiconductors, Electronics, Memory Products, Processors / Chips, Technology Hardware and Instruments",29008,2021,Lee Seok-Hee,990.0,13.0,Billion KRW,Billion KRW
253,GENERAL DYNAMICS CORPORATION,238,55.62,USA,2019,350 Million USD,2019,484 Million USD,"Industries, Aerospace Products, Defense Products, Aeroplane, Weapons, Security Systems and Solutions, Weapons, Marine Systems, Marine Transportation, Transportation, Capital Goods, Aerospace and Defense, Space Products",103100,2021,Phebe Novakovic,350.0,484.0,Million USD,Million USD
254,ECOLAB,239,55.33,USA,2019,906 Million USD,2019,559 Million USD,"Basic Materials, Chemicals, Scientific Research Products, Professional Services",50200,2020,Christophe Beck,906.0,559.0,Million USD,Million USD
255,DEERE & COMPANY,240,55.32,USA,2019,941 Million USD,2019,253 Million USD,"Industries, Agriculture Machinery, Construction Equipment, Commercial Vehicles, Engineering Products, Automobile, Machinery Manufacturing, Capital Goods, Manufacturing, Heavy Machinery",75600,2021,John C. May,941.0,253.0,Million USD,Million USD
256,GLOBAL PAYMENTS,241,55.3,USA,2019,912 Million USD,2019,430.6 Million USD,"Industries, Digital Payment Solution Services, Software and IT, Software Products, Business Services",24000,2020,Jeffrey S. Sloan,912.0,430.6,Million USD,Million USD
257,NATIONAL AUSTRALIA BANK,242,55.27,Australia,2020,422 Million AUD,2020,520 Million AUD,"Financial Services, Banking Services",34944,2021,Ross McEwan,422.0,520.0,Million AUD,Million AUD
258,SAUDI TELECOM COMPANY (STC),243,54.76,Saudi Arabia,2019,54.36 Billion SAR,2019,10.66 Billion SAR,"Communication Services, Telecom",17000,2021,Olayan M. Alwetaid,54.36,10.66,Billion SAR,Billion SAR
259,SERVICENOW,244,54.61,USA,2019,460 Million USD,2019,626.6 Million USD,"Technology, Cloud Services, Software and IT, Software Products, Artificial Intelligence",16881,2021,Bill McDermott,460.0,626.6,Million USD,Million USD
260,SHERWIN-WILLIAMS COMPANY,245,54.38,USA,2019,900 Million USD,2019,541 Million USD,"Basic Materials, Paints and Coatings, Construction Materials, Retail, Consumer Services, Chemicals",61626,2021,John G. Morikis,900.0,541.0,Million USD,Million USD
261,ERNST & YOUNG,245,54.38,UK,2019,36.4 Billion USD,2019,541 Million USD,"Financial Services, Consulting Services, Business Services, Professional Services, Accounting and Auditing",312250,2021,Bob van Dijk,36.4,541.0,Billion USD,Million USD
262,LAS VEGAS SANDS CORP,246,54.38,USA,2019,739 Million USD,2019,698 Million USD,"Consumer Cyclical, Hotels, Consumer Services",44700,2021,Robert Glen Goldstein,739.0,698.0,Million USD,Million USD
263,JIANGSU HENGRUI MEDICINE,247,54.29,China,2019,23.28 Billion CNY,2019,5.33 Billion CNY,"Healthcare, Pharmaceutical, Biotechnology, HealthCare Products, Technology",24431,2021,Bob van Dijk,23.28,5.33,Billion CNY,Billion CNY
264,AMERICA MOVIL,248,54.24,Mexico,2019,1007.3 Billion MXN,2019,67.7 Billion MXN,"Communication Services, Telecom, Fixed Line Service, Mobile Services, Internet Providers, Television Services, Internet of Things, Utilities, Telecom Equipment",186851,2020,Daniel Hajj Aboumrad,1007.3,67.7,Billion MXN,Billion MXN
265,BAYERISCHE MOTOREN WERKE (BMW),249,54.03,Germany,2019,104.21 Billion EUR,2019,4.91 Billion EUR,"Consumer Cyclical, Automobile, Cars, Luxury Goods, Passenger Vehicles",120726,2021,Bob van Dijk,104.21,4.91,Billion EUR,Billion EUR
266,CHINA VANKE,250,53.83,China,2019,367.89 Billion CNY,2019,38.87 Billion CNY,"Real Estate, Construction",140565,2021,Yu Liang,367.89,38.87,Billion CNY,Billion CNY
267,DANONE,251,53.72,Switzerland,2019,25.28 Billion EUR,2019,1.93 Billion EUR,"Consumer Defensive, FMCG, Food Products, Non-Alcoholic Beverages, Beverages, Dairy Products, Food and Beverage, Package Foods",101911,2021,Veronique Penchienati Bosetta,25.28,1.93,Billion EUR,Billion EUR
268,GENERAL MOTORS COMPANY,252,53.41,USA,2019,237 Million USD,2019,732 Million USD,"Consumer Cyclical, Automobile, Cars, Automobile Parts, Capital Goods, Passenger Vehicles",157000,2021,Mary Barra,237.0,732.0,Million USD,Million USD
269,ABB,253,53.28,Switzerland,2019,27.97 Billion EUR,2019,1.44 Billion EUR,"Industries, Electronics, Electrical Products, Engineering Products, Technology Hardware and Instruments, Automation, Robotics, Consumer Durables, Technology, Electric Vehicle Charging Station",105000,2021,Bjorn Rosengren,27.97,1.44,Billion EUR,Billion EUR
270,WALGREENS BOOTS ALLIANCE,254,53.05,USA,2019,866 Million USD,2019,982 Million USD,"Healthcare, Pharmacy, Healthcare Service, Retail, HealthCare Products",277000,2021,Rosalind Brewer,866.0,982.0,Million USD,Million USD
271,BAIDU,255,53.03,China,2019,107.4 Billion CNY,2019,2.06 Billion CNY,"Communication Services, Internet or Mobile App Based Business, Software and IT, Software Products, Artificial Intelligence, Advertising, Media, Technology, Social Media",41000,2020,Robin Li,107.4,2.06,Billion CNY,Billion CNY
272,WAL-MART DE MEXICO,256,52.75,Mexico,2019,646.8 Billion MXN,2019,37.89 Billion MXN,"Consumer Defensive, Retail, Super Markets, Hypermarkets",239000,2020,Guilherme Loureiro,646.8,37.89,Billion MXN,Billion MXN
273,ALDI,256,52.75,Germany,2020,53 Billion EUR,2019,37.89 Billion MXN,"Retail, Super Markets, Hypermarkets",25000,2020,Bob van Dijk,53.0,37.89,Billion EUR,Billion MXN
274,MERCK KGAA O.N.,257,52.68,Germany,2019,16.15 Billion EUR,2019,1.32 Billion EUR,"Healthcare, Pharmaceutical, Chemicals, HealthCare Products",58408,2021,Belen Garijo,16.15,1.32,Billion EUR,Billion EUR
275,BANK OF MONTREAL,258,52.61,Canada,2019,25.33 Billion CAD,2019,5.54 Billion CAD,"Financial Services, Banking Services",43863,2021,Darryl White,25.33,5.54,Billion CAD,Billion CAD
276,TC ENERGY CORPORATION,259,52.32,Canada,2019,13.25 Billion CAD,2019,4.14 Billion CAD,"Energy, Oil and Gas, Infrastructure, Electricity Generation, Power Generation, Natural Gas Generation, Oil and Gas Pipeline Transport, Utilities, Gas Utilities, Electric Utilities",7283,2022,Francois Poirier,13.25,4.14,Billion CAD,Billion CAD
277,VODAFONE GROUP,260,51.93,UK,2020,44974 Million EUR,2020,-455 Million EUR,"Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services, Utilities, Telecom Equipment",105000,2021,Nick Read,44974.0,455.0,Million EUR,Million EUR
278,CHINA SHENHUA ENERGY COMPANY,261,51.62,China,2019,241.87 Billion CNY,2019,43.25 Billion CNY,"Energy, Mining, Coal Mining",76182,2020,Yang Jiping,241.87,43.25,Billion CNY,Billion CNY
279,INTERCONTINENTAL EXCHANGE,262,51.61,USA,2019,547 Million USD,2019,933 Million USD,"Financial Services, Commodities Trading, Stock Markets, Trading, Capital Markets, Investments, Trading",8858,2021,Jeffrey C. Sprecher,547.0,933.0,Million USD,Million USD
280,UBER TECHNOLOGIES,263,51.58,USA,2019,147 Million USD,2019,506 Million USD,"Technology, Transportation, Consumer Services, Software and IT, Software Products, Ride Sharing",29300,2021,Dara Khosrowshahi,147.0,506.0,Million USD,Million USD
281,SUMITOMO MITSUI FINANCIAL GROUP,264,51.54,Japan,2020,677 Billion JPY,2020,703.8 Billion JPY,"Financial Services, Banking Services",86800,2021,Makoto Takashima,677.0,703.8,Billion JPY,Billion JPY
282,HONDA MOTOR,265,51.53,Japan,2020,931 Billion JPY,2020,455.7 Billion JPY,"Consumer Cyclical, Automobile, Bikes, Cars, Capital Goods, Passenger Vehicles",211374,2021,Toshihiro Mibe,931.0,455.7,Billion JPY,Billion JPY
283,AIR PRODUCTS AND CHEMICALS,266,51.51,USA,2019,919 Million USD,2019,760 Million USD,"Basic Materials, Chemicals, Industrial Gases",20875,2021,Seifi Ghasemi,919.0,760.0,Million USD,Million USD
284,QATAR NATIONAL BANK,267,51.32,Qatar,2019,25.12 Billion QAR,2019,13.35 Billion QAR,"Financial Services, Banking Services, Asset Management, Securities, Credit Cards, Insurance",28000,2021,Abdulla Mubarak Al-Khalifa,25.12,13.35,Billion QAR,Billion QAR
285,SHANGHAI PUDONG DEVELOPMENT BANK,268,51.24,China,2019,189.04 Billion CNY,2019,58.91 Billion CNY,"Financial Services, Banking Services",58200,2021,Ji Xiaohui,189.04,58.91,Billion CNY,Billion CNY
286,FOXCONN INDUSTRIAL INTERNET,269,51.09,China,2019,408.6 Billion CNY,2019,18.6 Billion CNY,"Technology, Electronics, Processors / Chips, Technology Hardware and Instruments, Communications Equipment",803126,2017,Bob van Dijk,408.6,18.6,Billion CNY,Billion CNY
287,NORFOLK SOUTHERN CORPORATION,270,50.93,USA,2019,296 Million USD,2019,722 Million USD,"Industries, Railway, Rail Transport, Freight Transport, Railway Operating Company, Transportation",18100,2021,James A. Squires,296.0,722.0,Million USD,Million USD
288,CHUGAI PHARMACEUTICAL,271,50.75,Japan,2020,686.1 Billion JPY,2020,157.5 Billion JPY,"Healthcare, Pharmaceutical, HealthCare Products",7664,2021,Tatsuro Kosaka,686.1,157.5,Billion JPY,Billion JPY
289,SUNCOR ENERGY,272,50.7,Canada,2019,38.34 Billion CAD,2019,2.89 Billion CAD,"Energy, Oil and Gas, Oil Refining, Electricity Generation, Power Generation, Retail, Petrochemicals, Lubricants, Oil Refining, Energy, Chemicals",12591,2021,Mark S. Little,38.34,2.89,Billion CAD,Billion CAD
290,PRUDENTIAL,273,50.49,UK,2019,94133 Million GBP,2019,792 Million GBP,"Financial Services, Insurance, Asset Management",18687,2021,Charles F. Lowrey,94133.0,792.0,Million GBP,Million GBP
291,EQUINIX,274,50.31,USA,2019,562 Million USD,2019,507.4 Million USD,"Real Estate, Data Centers, Cloud Services, Technology Hardware and Instruments, Technology, Consumer Services, Property Investments",10944,2021,Charles J. Meyers,562.0,507.4,Million USD,Million USD
292,PHILLIPS 66,275,50.29,USA,2019,293 Million USD,2019,076 Million USD,"Energy, Oil and Gas, Petroleum, Petrochemicals, Natural Gas Generation, Lubricants, Aviation Fuels, Oil Refining, Chemicals, Fuels",14000,2021,Greg C. Garland,293.0,76.0,Million USD,Million USD
293,MARRIOTT INTERNATIONAL,276,49.98,USA,2019,972 Million USD,2019,273 Million USD,"Consumer Cyclical, Hotels, Consumer Services",120000,2021,Anthony Capuano,972.0,273.0,Million USD,Million USD
294,WHATSAPP,276,49.98,USA,2019,972 Million USD,2019,273 Million USD,"Technology, Communication Services",55,2021,Bob van Dijk,972.0,273.0,Million USD,Million USD
295,AIRBNB,276,49.98,USA,2019,4.7 Billion USD,2019,273 Million USD,"Internet or Mobile App Based Business, Rent / Lease Services, Consumer Services",6132,2021,Brian Chesky,4.7,273.0,Billion USD,Million USD
296,DBS GROUP HOLDINGS,277,49.82,Singapore,2019,14.54 Billion SGD,2019,6.39 Billion SGD,"Financial Services, Banking Services",29000,2021,Piyush Gupta,14.54,6.39,Billion SGD,Billion SGD
297,HCA HEALTHCARE,278,49.82,USA,2019,336 Million USD,2019,505 Million USD,"Healthcare, Hospitals, HealthCare Products, Healthcare Service",280000,2020,Samuel N. Hazen,336.0,505.0,Million USD,Million USD
298,MMC NORILSK NICKEL,279,49.7,Russia,2019,13.56 Billion USD,2019,5.78 Billion USD,"Basic Materials, Mining, Metals, Nickel, Copper Mining, Platinum",75901,2020,Vladimir Potanin,13.56,5.78,Billion USD,Billion USD
299,AMERICAN INTERNATIONAL GROUP (AIG),280,49.6,USA,2019,792 Million USD,2019,326 Million USD,"Financial Services, Banking Services, Credit Cards, Technology, Insurance",49600,2020,Peter Zaffino,792.0,326.0,Million USD,Million USD
300,ILLUMINA,281,49.44,USA,2019,543 Million USD,2019,002 Million USD,"Healthcare, Medical Equipment, Biotechnology, Capital Goods, Technology, Health Care Diagnostics",7800,2021,Francis deSouza,543.0,2.0,Million USD,Million USD
301,ATLAS COPCO AB,282,49.33,Sweden,2019,103.75 Billion SEK,2019,16.52 Billion SEK,"Industries, Capital Goods, Construction Equipment, Electrical Products, Machinery Manufacturing, Industry Machinery",40000,2020,Mats Rahmstrom,103.75,16.52,Billion SEK,Billion SEK
302,ICICI BANK,283,48.99,India,2020,401.21 Billion INR,2020,112.25 Billion INR,"Financial Services, Banking Services, Wealth Management, Credit Cards, Private Bank",130170,2021,Sandeep Bakhshi,401.21,112.25,Billion INR,Billion INR
303,EOG RESOURCES,284,48.91,USA,2019,122 Million USD,2019,734 Million USD,"Energy, Oil and Gas, Natural Gas Generation, Petrochemicals, Petroleum, Chemicals",2900,2020,William R. Thomas,122.0,734.0,Million USD,Million USD
304,METLIFE,285,48.91,USA,2019,620 Million USD,2019,899 Million USD,"Financial Services, Insurance, Asset Management",46500,2020,Michel A. Khalaf,620.0,899.0,Million USD,Million USD
305,ANZ BANKING GROUP,286,48.85,Australia,2020,17.54 Billion AUD,2020,3.57 Billion AUD,"Financial Services, Banking Services",37506,2021,Shayne Elliott,17.54,3.57,Billion AUD,Billion AUD
306,EDWARDS LIFESCIENCES CORPORATION,287,48.84,USA,2019,348 Million USD,2019,047 Million USD,"Healthcare, Medical Equipment, HealthCare Products",15700,2021,Michael A Mussallem,348.0,47.0,Million USD,Million USD
307,AON,288,48.79,USA,2019,11.01 Billion USD,2019,0.78 Billion USD,"Financial Services, Insurance, Investments",50000,2020,Gregory C. Case,11.01,0.78,Billion USD,Billion USD
308,NINTENDO,289,48.63,Japan,2019,200 Billion JPY,2019,194 Billion JPY,"Communication Services, Electronics, Technology Hardware and Instruments, Video Games / Mobile Games / Tech Games / Casino Games, Technology, Gaming",6574,2021,Shuntaro Furukawa,200.0,194.0,Billion JPY,Billion JPY
309,HUMANA,290,48.49,USA,2019,888 Million USD,2019,707 Million USD,"Healthcare, Insurance, Healthcare Service, HealthCare Products",95500,2021,Bruce D. Broussard,888.0,707.0,Million USD,Million USD
310,RELX,291,48.35,UK,2019,874 Million GBP,2019,505 Million GBP,"Communication Services, Software and IT, Software Products, Consumer Services, Publishing",33500,2021,Erik Engstrom,874.0,505.0,Million GBP,Million GBP
311,WASTE MANAGEMENT,292,48.22,USA,2019,455 Million USD,2019,670 Million USD,"Industries, Waste and Trash Management, Environmental Services, Utilities",48500,2021,James C. Fish Jr,455.0,670.0,Million USD,Million USD
312,KINDER MORGAN,293,48.02,USA,2019,209 Million USD,2019,190 Million USD,"Energy, Oil and Gas, Infrastructure, Gas Utilities, Utilities",10529,2021,Steven J. Kean,209.0,190.0,Million USD,Million USD
313,ING GROUP,294,47.99,Netherlands,2019,16.96 Billion EUR,2019,3.90 Billion EUR,"Financial Services, Banking Services",57000,2021,Steven van Rijswijk,16.96,3.9,Billion EUR,Billion EUR
314,BANCO SANTANDER BRASIL SA,295,47.93,Brazil,2019,46.34 Billion BRL,2019,7.96 Billion BRL,"Financial Services, Banking Services, Asset Management, Insurance",44599,2020,Sergio Rial,46.34,7.96,Billion BRL,Billion BRL
315,PINDUODUO,296,47.92,China,2020,59.49 Billion CNY,2020,-7.18 Billion CNY,"Consumer Cyclical, eCommerce, Internet or Mobile App Based Business, Software and IT, Retail",7986,2020,Colin Huang Zheng,59.49,7.18,Billion CNY,Billion CNY
316,CAPITAL ONE FINANCIAL CORPORATION,297,47.73,USA,2019,831 Million USD,2019,192 Million USD,"Financial Services, Banking Services, Insurance, Credit Cards",50800,2021,Richard Fairbank,831.0,192.0,Million USD,Million USD
317,DEUTSCHE POST AG,298,47.72,Germany,2019,63.34 Billion EUR,2019,2.62 Billion EUR,"Industries, Courier, Logistics, Freight Transport",571974,2020,Frank Appel,63.34,2.62,Billion EUR,Billion EUR
318,SIEMENS HEALTHINEERS AG,299,47.67,Germany,2019,14.52 Billion EUR,2019,1.56 Billion EUR,"Healthcare, Medical Equipment, HealthCare Products, Technology, Health Care Diagnostics",52000,2019,Bernd Montag,14.52,1.56,Billion EUR,Billion EUR
319,NETEASE,300,47.52,China,2019,59.24 Billion CNY,2019,21.23 Billion CNY,"Communication Services, Internet or Mobile App Based Business, Video Games / Mobile Games / Tech Games / Casino Games, Gaming, Software and IT, Software Products, Business Services",28239,2021,Ding Lei,59.24,21.23,Billion CNY,Billion CNY
320,PERNOD RICARD,301,47.44,France,2020,8.45 Billion EUR,2020,329 Million EUR,"Consumer Defensive, Beverages, Alcoholic Beverages, FMCG",18500,2021,Alexandre Ricard,8.45,329.0,Billion EUR,Million EUR
321,DUPONT DE NEMOURS,302,47.21,USA,2019,512 Million USD,2019,498 Million USD,"Basic Materials, Chemicals, Plastics / Plastic Products, Agriculture Products, Adhesives",28000,2021,Edward D. Breen,512.0,498.0,Million USD,Million USD
322,EMERSON ELECTRIC COMPANY,303,47.0,USA,2019,372 Million USD,2019,306 Million USD,"Industries, Electrical Products, Electronics, Energy, Industry Machinery",86700,2021,Lal Karsanbhai,372.0,306.0,Million USD,Million USD
